phase(getData("loopGain" ?result "stb")) X,phase(getData("loopGain" ?result "stb")) Y
1,179.9996257757218
1.011579454259899,179.9996214424089
1.023292992280754,179.9996170589185
1.035142166679344,179.9996126246698
1.0471285480509,179.9996081390749
1.059253725177289,179.9996036015392
1.071519305237607,179.9995990114614
1.083926914021204,179.9995943682329
1.096478196143186,179.9995896712385
1.109174815262402,179.9995849198553
1.122018454301964,179.9995801134538
1.135010815672316,179.9995752513967
1.148153621496884,179.9995703330397
1.161448613840344,179.9995653577308
1.174897554939531,179.9995603248105
1.18850222743702,179.9995552336117
1.202264434617414,179.9995500834597
1.216186000646369,179.9995448736717
1.230268770812383,179.9995396035572
1.244514611771387,179.9995342724177
1.258925411794169,179.9995288795464
1.273503081016663,179.9995234242287
1.288249551693136,179.9995179057413
1.303166778452301,179.9995123233529
1.318256738556409,179.9995066763235
1.333521432163326,179.9995009639046
1.348962882591656,179.9994951853389
1.364583136588927,179.9994893398606
1.380384264602887,179.9994834266949
1.39636836105594,179.999477445058
1.412537544622757,179.9994713941569
1.428893958511106,179.9994652731897
1.445439770745931,179.9994590813451
1.462177174456721,179.9994528178023
1.479108388168211,179.999446481731
1.496235656094437,179.9994400722915
1.513561248436212,179.9994335886343
1.531087461682034,179.9994270298998
1.548816618912485,179.9994203952187
1.566751070108153,179.9994136837117
1.584893192461118,179.999406894489
1.603245390690046,179.9994000266508
1.621810097358934,179.9993930792869
1.640589773199544,179.9993860514763
1.659586907437565,179.9993789422874
1.678804018122565,179.9993717507781
1.698243652461749,179.9993644759949
1.717908387157593,179.9993571169738
1.737800828749381,179.9993496727392
1.757923613958698,179.9993421423044
1.778279410038929,179.9993345246713
1.798870915128794,179.9993268188302
1.81970085860999,179.9993190237596
1.840772001468962,179.9993111384264
1.862087136662874,179.9993031617853
1.883649089489807,179.9992950927791
1.905460717963254,179.9992869303381
1.927524913190943,179.9992786733806
1.949844599758053,179.999270320812
1.972422736114861,179.9992618715252
1.995262314968888,179.9992533244003
2.018366363681569,179.9992446783044
2.041737944669538,179.9992359320914
