dB20(mag(getData("loopGain" ?result "stb"))) X,dB20(mag(getData("loopGain" ?result "stb"))) Y
1,67.0896349942236
1.011579454259899,67.08963499421276
1.023292992280754,67.08963499421053
1.035142166679344,67.0896349942082
1.0471285480509,67.08963499420794
1.059253725177289,67.08963499420102
1.071519305237607,67.08963499419619
1.083926914021204,67.08963499418687
1.096478196143186,67.08963499418398
1.109174815262402,67.08963499417662
1.122018454301964,67.08963499417132
1.135010815672316,67.08963499416589
1.148153621496884,67.08963499416033
1.161448613840344,67.08963499415465
1.174897554939531,67.08963499414884
1.18850222743702,67.08963499414725
1.202264434617414,67.08963499413898
1.216186000646369,67.08963499413275
1.230268770812383,67.08963499412637
1.244514611771387,67.08963499412202
1.258925411794169,67.08963499411534
1.273503081016663,67.08963499410633
1.288249551693136,67.08963499409933
1.303166778452301,67.08963499408563
1.318256738556409,67.08963499408267
1.333521432163326,67.08963499407737
1.348962882591656,67.08963499406752
1.364583136588927,67.08963499406404
1.380384264602887,67.08963499405164
1.39636836105594,67.08963499404561
1.412537544622757,67.08963499403501
1.428893958511106,67.08963499402424
1.445439770745931,67.08963499402198
1.462177174456721,67.08963499400861
1.479108388168211,67.08963499399719
1.496235656094437,67.08963499398995
1.513561248436212,67.08963499398249
1.531087461682034,67.08963499397042
1.548816618912485,67.08963499396032
1.566751070108153,67.08963499394997
1.584893192461118,67.08963499394157
1.603245390690046,67.08963499393074
1.621810097358934,67.0896349939153
1.640589773199544,67.08963499390613
1.659586907437565,67.08963499389453
1.678804018122565,67.08963499388483
1.698243652461749,67.0896349938705
1.717908387157593,67.08963499385807
1.737800828749381,67.08963499384753
1.757923613958698,67.08963499383451
1.778279410038929,67.08963499382554
1.798870915128794,67.08963499380536
1.81970085860999,67.08963499379141
1.840772001468962,67.08963499377495
1.862087136662874,67.08963499375815
1.883649089489807,67.08963499374975
1.905460717963254,67.08963499373664
1.927524913190943,67.08963499371444
1.949844599758053,67.0896349937006
1.972422736114861,67.08963499368421
1.995262314968888,67.08963499366962
2.018366363681569,67.0896349936459
2.041737944669538,67.08963499363708
2.065380155810538,67.08963499361474
2.089296130854049,67.08963499359852
2.113489039836656,67.08963499357969
2.137962089502242,67.08963499356044
2.16271852372703,67.08963499354292
2.187761623949563,67.08963499352056
2.213094709605648,67.08963499349557
2.238721138568351,67.08963499348098
2.264644307593071,67.08963499345938
2.290867652767784,67.08963499342853
2.31739464996849,67.08963499341027
2.344228815319934,67.08963499338712
2.371373705661667,67.08963499336561
2.398832919019502,67.08963499334136
2.426610095082428,67.08963499331655
2.454708915685043,67.08963499329117
2.483133105295583,67.08963499326737
2.511886431509593,67.08963499323642
2.540972705549319,67.08963499320703
2.570395782768878,67.08963499318136
2.600159563165286,67.08963499315288
2.630267991895396,67.08963499312591
2.660725059798824,67.08963499309608
2.691534803926931,67.0896349930612
2.722701308077928,67.08963499303215
2.754228703338182,67.08963499300019
2.786121168629787,67.08963499296529
2.818382931264471,67.08963499293401
2.851018267503926,67.08963499289976
2.884031503126623,67.08963499286689
2.917427014001185,67.08963499283104
2.951209226666404,67.08963499279652
2.985382618917978,67.0896349927546
3.019951720402035,67.08963499272053
3.054921113215533,67.08963499267685
3.09029543251361,67.08963499263879
3.126079367123975,67.08963499259325
3.1622776601684,67.08963499255549
3.198895109691419,67.08963499251236
3.235936569296304,67.08963499246606
3.273406948788404,67.08963499242091
3.311311214825934,67.08963499237471
3.3496543915783,67.08963499233181
3.38844156139205,67.08963499227906
3.427677865464528,67.08963499223393
3.467368504525342,67.08963499217889
3.507518739525706,67.08963499212487
3.548133892335781,67.0896349920762
3.589219346450079,67.08963499201536
3.630780547701041,67.089634991962
3.672823004980875,67.08963499190953
3.715352290971754,67.08963499184918
3.758374042884471,67.08963499179403
3.801893963205642,67.08963499172658
3.845917820453566,67.08963499166644
3.890451449942837,67.08963499160267
3.935500754557806,67.08963499153522
3.981071705535005,67.08963499147063
4.027170343254624,67.08963499140448
4.073802778041161,67.089634991328
4.120975190973336,67.08963499126081
4.168693834703389,67.08963499118541
4.216965034285859,67.08963499111483
4.265795188015963,67.08963499103599
4.31519076827769,67.08963499095316
4.365158322401698,67.08963499087724
4.415704473533165,67.0896349907929
4.466835921509672,67.08963499071102
4.518559443749265,67.08963499061625
4.570881896148792,67.08963499053478
4.623810213992646,67.08963499044032
4.677351412872025,67.08963499034596
4.731512589614849,67.08963499025599
4.786300923226428,67.08963499016166
4.841723675841039,67.08963499006069
4.897788193684509,67.08963498995743
4.95450190804795,67.08963498985619
5.011872336272772,67.08963498975471
5.069907082747093,67.08963498964422
5.128613839913699,67.08963498953558
5.188000389289662,67.0896349894178
5.248074602497778,67.08963498930176
5.308844442309936,67.08963498918301
5.370317963702581,67.08963498906367
5.432503314924387,67.08963498893932
5.495408738576301,67.08963498880989
5.559042572704092,67.08963498867968
5.623413251903548,67.08963498854862
5.688529308438473,67.0896349884101
5.754399373371629,67.08963498826839
5.821032177708775,67.08963498813216
5.888436553555951,67.08963498798389
5.956621435290167,67.08963498783001
6.025595860743641,67.08963498768141
6.095368972401756,67.08963498751829
6.165950018614887,67.08963498736247
6.237348354824259,67.08963498720074
6.309573444802,67.08963498703299
6.382634861905555,67.08963498685696
6.456542290346625,67.08963498667914
6.531305526474794,67.08963498650377
6.606934480076032,67.08963498631985
6.683439175686219,67.08963498612945
6.760829753919892,67.08963498593904
6.839116472814369,67.08963498574197
6.918309709189442,67.0896349855381
6.998419960022813,67.08963498533392
7.079457843841459,67.08963498511838
7.161434102129101,67.08963498489791
